amplitude_median,pseudo_experiments
-0.0023164986606483357,1
-0.002076110118540083,1
-0.0018357215764318313,0
-0.0015953330343235791,0
-0.0013549444922153272,1
-0.001114555950107075,2
-0.0008741674079988229,2
-0.0006337788658905708,6
-0.00039339032378231875,9
-0.00015300178167406667,8
8.738676043418552e-05,10
0.0003277753025424377,12
0.0005681638446506899,36
0.0008085523867589419,24
0.0010489409288671938,61
0.001289329470975446,67
0.0015297180130836982,68
0.0017701065551919502,98
0.0020104950973002023,110
0.0022508836394084545,148
0.0024912721815167067,222
0.002731660723624959,252
0.0029720492657332107,314
0.003212437807841463,461
0.003452826349949715,511
0.003693214892057967,665
0.003933603434166219,816
0.004173991976274471,956
0.004414380518382723,1159
0.0046547690604909755,1453
0.004895157602599228,1684
0.00513554614470748,2047
0.005375934686815732,2325
0.005616323228923984,2729
0.005856711771032236,3201
0.006097100313140488,3587
0.00633748885524874,4198
0.006577877397356993,4701
0.006818265939465245,5260
0.0070586544815734965,5792
0.007299043023681748,6565
0.007539431565790001,7033
0.007779820107898254,7443
0.008020208650006506,8136
0.008260597192114758,8579
0.00850098573422301,9200
0.008741374276331261,9490
0.008981762818439513,10055
0.009222151360547765,10384
0.009462539902656017,10715
0.009702928444764268,10908
0.009943316986872522,10727
0.010183705528980775,10693
0.010424094071089027,10630
0.010664482613197279,10508
0.01090487115530553,10175
0.011145259697413782,9871
0.011385648239522034,9461
0.011626036781630286,9098
0.011866425323738538,8452
0.01210681386584679,7833
0.012347202407955043,7385
0.012587590950063296,6789
0.012827979492171548,6142
0.0130683680342798,5477
0.013308756576388052,4892
0.013549145118496303,4596
0.013789533660604555,4007
0.014029922202712807,3527
0.014270310744821059,3018
0.01451069928692931,2558
0.014751087829037562,2190
0.014991476371145814,1868
0.015231864913254067,1612
0.01547225345536232,1390
0.01571264199747057,1082
0.015953030539578826,940
0.016193419081687074,739
0.01643380762379533,599
0.016674196165903578,482
0.016914584708011833,365
0.01715497325012008,319
0.017395361792228337,245
0.01763575033433659,193
0.01787613887644484,159
0.018116527418553095,113
0.018356915960661344,89
0.0185973045027696,76
0.018837693044877847,61
0.019078081586986102,41
0.01931847012909435,29
0.019558858671202606,12
0.019799247213310854,15
0.02003963575541911,10
0.020280024297527365,7
0.020520412839635613,9
0.020760801381743868,5
0.021001189923852116,1
0.02124157846596037,3
0.02148196700806862,2
